ID,Titre,Marque,Modele,Prix Initial,Prix Actuel,Statut,Date Annonce,Date Premiere Vue,Date Dernière Vue,Date Vendu,Jours en Vente,Lien
526,PEUGEOT 208 1.2 PureTech 130 GT Line EAT8PEUGEOT 208 1.2 PureTech 130 GT Line EAT8Annonce retirée des favorisPEUGEOT 208 1.2 PureTech 130 GT Line EAT8,PEUGEOT,208,812 990 €,812 990 €,ACTIVE,2025-11-29,2025-11-29 19:34:50,2025-11-29 19:34:50,N/A,0,N/A
525,Toyota Yaris Cross Hybride 116h 2WD DynamicToyota Yaris Cross Hybride 116h 2WD DynamicAnnonce retirée des favorisToyota Yaris Cross Hybride 116h 2WD D,Toyota,Yaris,23 900 €,23 900 €,ACTIVE,2025-11-29,2025-11-29 19:34:50,2025-11-29 19:34:50,N/A,0,N/A
524,HYUNDAI Tucson 1.6 T-GDI 253 Plug-in BVA6 IntuitiveHYUNDAI Tucson 1.6 T-GDI 253 Plug-in BVA6 IntuitiveAnnonce retirée des favorisHYUNDAI Tucson 1.6 T-,HYUNDAI,Tucson,36 990 €,36 990 €,ACTIVE,2025-11-29,2025-11-29 19:34:50,2025-11-29 19:34:50,N/A,0,N/A
523,Renault Trafic L2 dCi 150 Energy SetS ZenRenault Trafic L2 dCi 150 Energy SetS ZenAnnonce retirée des favorisRenault Trafic L2 dCi 150 Energy SetS Zen,Renault,Trafic,35 300 €,35 300 €,ACTIVE,2025-11-29,2025-11-29 19:34:50,2025-11-29 19:34:50,N/A,0,N/A
522,Land-rover Defender 110 2.0 P300e X-Dynamic SELand-rover Defender 110 2.0 P300e X-Dynamic SEAnnonce retirée des favorisLand-rover Defender 110 2.0 P30,Land-rover,Defender,89 890 €,89 890 €,ACTIVE,2025-11-29,2025-11-29 19:34:49,2025-11-29 19:34:49,N/A,0,N/A
521,Peugeot 2008 1.2 HYBRID 145CH GT E-DCS6Peugeot 2008 1.2 HYBRID 145CH GT E-DCS6Annonce retirée des favorisPeugeot 2008 1.2 HYBRID 145CH GT E-DCS626 990,Peugeot,2008,626 990 €,626 990 €,ACTIVE,2025-11-29,2025-11-29 19:34:49,2025-11-29 19:34:49,N/A,0,N/A
520,Nissan Micra 1.0 IG-T 100ch Tekna Xtronic 2020Nissan Micra 1.0 IG-T 100ch Tekna Xtronic 2020Annonce retirée des favorisNissan Micra 1.0 IG-T 100ch Tek,Nissan,Micra,202014 299 €,202014 299 €,ACTIVE,2025-11-29,2025-11-29 19:34:49,2025-11-29 19:34:49,N/A,0,N/A
519,Volkswagen Tiguan 2.0 TDI 150 BlueMotion Technology DSG7 4Motion Carat EditionVolkswagen Tiguan 2.0 TDI 150 BlueMotion Technology DSG7 4Motion Carat E,Volkswagen,Tiguan,21 990 €,21 990 €,ACTIVE,2025-11-29,2025-11-29 19:34:49,2025-11-29 19:34:49,N/A,0,N/A
518,Jaguar E-PACE 2.0 AWD 150 CH R-DYNAMIC 4X4Jaguar E-PACE 2.0 AWD 150 CH R-DYNAMIC 4X4Annonce retirée des favorisJaguar E-PACE 2.0 AWD 150 CH R-DYNAMIC ,Jaguar,E-PACE,419 790 €,419 790 €,ACTIVE,2025-11-29,2025-11-29 19:34:49,2025-11-29 19:34:49,N/A,0,N/A
517,RENAULT MEGANE IV 1.5 DCi GT Line / Carplay / Caméra...RENAULT MEGANE IV 1.5 DCi GT Line / Carplay / Caméra...Annonce retirée des favorisRENAULT MEGAN,RENAULT,MEGANE,10 990 €,10 990 €,ACTIVE,2025-11-29,2025-11-29 19:34:49,2025-11-29 19:34:49,N/A,0,N/A
